CAS,AAC,SpPosA_B(m),SpMax5_Bh(m),P_VSA_v_3
85721-33-1,1.724334,1.354805,3.071949,68.540811000000005
86386-73-4,1.892315,1.4431499999999999,2.852611,88.542133000000007
93413-69-5,1.3020609999999999,1.295058,2.9725820000000001,88.788167000000001
99300-78-4,1.4087339999999999,1.373945,3.160228,133.256316
100986-85-4,1.735473,1.37564,3.1109100000000001,81.052893999999995
114247-06-2,1.7029749999999999,1.4485060000000001,3.324773,162.16508300000001
114247-09-5,1.7029749999999999,1.4485060000000001,3.324773,162.16508300000001
120511-73-1,1.4110370000000001,1.3766670000000001,2.883861,125.832667
122320-73-4,1.70309,1.4189659999999999,3.1064319999999999,143.76107300000001
134523-00-5,1.516354,1.3744959999999999,3.6578080000000002,195.77525800000001
163222-33-1,1.5737460000000001,1.388574,3.333167,150.85861700000001
169590-42-5,1.9644379999999999,1.475597,3.2604410000000001,123.87051099999999
6893-02-3,1.8613459999999999,2.5842420000000002,3.719201,69.477003999999994
10161-33-8,1.221695,1.337137,2.9817170000000002,67.151338999999993
10540-29-1,1.217225,1.3244009999999999,3.3703750000000001,188.689346
15307-79-6,1.8894820000000001,1.576716,3.0689790000000001,169.580533
15307-86-5,1.7283329999999999,1.5589489999999999,3.068981,163.77571
